,kind,name,url,releaseDate,artistName,id
100,podcast,Pod Save America,https://podcasts.apple.com/us/podcast/pod-save-america/id1192761536,2019-09-05,Crooked Media,1192761536
101,podcast,In the Dark,https://podcasts.apple.com/us/podcast/in-the-dark/id1148175292,2019-07-02,APM Reports,1148175292
102,podcast,WHOA That's Good Podcast,https://podcasts.apple.com/us/podcast/whoa-thats-good-podcast/id1433974017,2019-03-27,Sadie Robertson,1433974017
103,podcast,Oprah’s Master Class: The Podcast,https://podcasts.apple.com/us/podcast/oprahs-master-class-the-podcast/id1401057414,2019-05-30,Oprah,1401057414
104,podcast,Atlanta Monster,https://podcasts.apple.com/us/podcast/atlanta-monster/id1324249769,2019-08-01,iHeartRadio & Tenderfoot TV,1324249769
105,podcast,The Tony Robbins Podcast,https://podcasts.apple.com/us/podcast/the-tony-robbins-podcast/id1098413063,2019-09-02,Tony Robbins,1098413063
106,podcast,Monday Morning Podcast,https://podcasts.apple.com/us/podcast/monday-morning-podcast/id480486345,2019-09-05,Bill Burr,480486345
107,podcast,99% Invisible,https://podcasts.apple.com/us/podcast/99-invisible/id394775318,2019-09-04,Roman Mars,394775318
108,podcast,Business Wars,https://podcasts.apple.com/us/podcast/business-wars/id1335814741,2019-09-04,Wondery,1335814741
109,podcast,Unsolved Murders: True Crime Stories,https://podcasts.apple.com/us/podcast/unsolved-murders-true-crime-stories/id1122804248,2019-09-04,Parcast Network,1122804248
110,podcast,This Past Weekend w/ Theo Von,https://podcasts.apple.com/us/podcast/this-past-weekend-w-theo-von/id1190981360,2019-09-05,Theo Von,1190981360
111,podcast,The NPR Politics Podcast,https://podcasts.apple.com/us/podcast/the-npr-politics-podcast/id1057255460,2019-09-05,NPR,1057255460
112,podcast,Elevation with Steven Furtick,https://podcasts.apple.com/us/podcast/elevation-with-steven-furtick/id216015753,2019-09-01,Elevation Church,216015753
113,podcast,Congratulations with Chris D'Elia,https://podcasts.apple.com/us/podcast/congratulations-with-chris-delia/id1201940175,2019-09-02,Chris D'Elia,1201940175
114,podcast,The School of Greatness,https://podcasts.apple.com/us/podcast/the-school-of-greatness/id596047499,2019-09-06,Lewis Howes,596047499
115,podcast,The Breakfast Club,https://podcasts.apple.com/us/podcast/the-breakfast-club/id1232428553,2019-09-05,iHeartRadio,1232428553
116,podcast,Coffee Convos with Kail Lowry & Lindsie Chrisley,https://podcasts.apple.com/us/podcast/coffee-convos-with-kail-lowry-lindsie-chrisley/id1305546061,2019-09-05,Wave Podcast Network,1305546061
117,podcast,BiggerPockets Real Estate Podcast,https://podcasts.apple.com/us/podcast/biggerpockets-real-estate-podcast/id594419649,2019-09-05,Bigger Pockets,594419649
118,podcast,Jocko Podcast,https://podcasts.apple.com/us/podcast/jocko-podcast/id1070322219,2019-09-04,Jocko DEFCOR Network,1070322219
119,podcast,True Crime Obsessed,https://podcasts.apple.com/us/podcast/true-crime-obsessed/id1232009882,2019-09-05,True Crime Obsessed,1232009882
120,podcast,The Wild,https://podcasts.apple.com/us/podcast/the-wild/id1455418690,2019-08-20,KUOW,1455418690
121,podcast,RISE Together Podcast,https://podcasts.apple.com/us/podcast/rise-together-podcast/id1407481308,2019-09-05,Rachel Hollis & Dave Hollis,1407481308
122,podcast,Schnitt Talk,https://podcasts.apple.com/us/podcast/schnitt-talk/id1441806992,2019-09-06,Barstool Sports,1441806992
123,podcast,American Hysteria,https://podcasts.apple.com/us/podcast/american-hysteria/id1441348407,2019-09-06,Skylark Media,1441348407
124,podcast,Making Sense with Sam Harris,https://podcasts.apple.com/us/podcast/making-sense-with-sam-harris/id733163012,2019-08-26,Sam Harris,733163012
125,podcast,Skimm This,https://podcasts.apple.com/us/podcast/skimm-this/id1454021155,2019-09-06,"theSkimm, Inc.",1454021155
126,podcast,Blackout,https://podcasts.apple.com/us/podcast/blackout/id1447513097,2019-04-30,Endeavor Audio,1447513097
127,podcast,The Herd with Colin Cowherd,https://podcasts.apple.com/us/podcast/the-herd-with-colin-cowherd/id1042368254,2019-09-07,FOX Sports Radio,1042368254
128,podcast,Your Mom's House with Christina P. and Tom Segura,https://podcasts.apple.com/us/podcast/your-moms-house-with-christina-p-and-tom-segura/id503482646,2019-09-04,YMH Studios,503482646
129,podcast,American History Tellers,https://podcasts.apple.com/us/podcast/american-history-tellers/id1313596069,2019-09-06,Wondery,1313596069
130,podcast,Skip and Shannon: Undisputed,https://podcasts.apple.com/us/podcast/skip-and-shannon-undisputed/id1150088852,2019-09-07,FOX Sports,1150088852
131,podcast,Snacks Daily,https://podcasts.apple.com/us/podcast/snacks-daily/id1386234384,2019-09-06,"Robinhood Financial, LLC",1386234384
132,podcast,Serial Killers,https://podcasts.apple.com/us/podcast/serial-killers/id1205030005,2019-09-02,Parcast Network,1205030005
133,podcast,The Teacher's Pet,https://podcasts.apple.com/us/podcast/the-teachers-pet/id1385379989,2019-04-05,The Australian,1385379989
134,podcast,The Goal Digger Podcast,https://podcasts.apple.com/us/podcast/the-goal-digger-podcast/id1178704872,2019-09-04,Jenna Kutcher,1178704872
135,podcast,Gladiator: Aaron Hernandez and Football Inc.,https://podcasts.apple.com/us/podcast/gladiator-aaron-hernandez-and-football-inc/id1437935588,2019-06-12,The Boston Globe | Wondery,1437935588
136,podcast,First Take,https://podcasts.apple.com/us/podcast/first-take/id428989929,2019-09-06,"ESPN, Stephen A. Smith, Max Kellerman, Molly Qerim",428989929
137,podcast,American Scandal,https://podcasts.apple.com/us/podcast/american-scandal/id1435516849,2019-09-06,Wondery,1435516849
138,podcast,This Podcast Will Kill You,https://podcasts.apple.com/us/podcast/this-podcast-will-kill-you/id1299915173,2019-09-03,Exactly Right,1299915173
139,podcast,NPR News Now,https://podcasts.apple.com/us/podcast/npr-news-now/id121493675,2019-09-08,NPR,121493675
140,podcast,The Way I Heard It with Mike Rowe,https://podcasts.apple.com/us/podcast/the-way-i-heard-it-with-mike-rowe/id1087110764,2019-09-03,Mike Rowe,1087110764
141,podcast,The Vanished Podcast,https://podcasts.apple.com/us/podcast/the-vanished-podcast/id1081124929,2019-09-02,Wondery,1081124929
142,podcast,Throughline,https://podcasts.apple.com/us/podcast/throughline/id1451109634,2019-09-05,NPR,1451109634
143,podcast,Science Vs,https://podcasts.apple.com/us/podcast/science-vs/id1051557000,2019-08-08,Gimlet,1051557000
144,podcast,Factually! with Adam Conover,https://podcasts.apple.com/us/podcast/factually-with-adam-conover/id1463460577,2019-09-04,Earwolf & Adam Conover,1463460577
145,podcast,13 Minutes to the Moon,https://podcasts.apple.com/us/podcast/13-minutes-to-the-moon/id1459657136,2019-07-19,BBC World Service,1459657136
146,podcast,Ologies with Alie Ward,https://podcasts.apple.com/us/podcast/ologies-with-alie-ward/id1278815517,2019-09-03,Alie Ward,1278815517
147,podcast,Broken Harts,https://podcasts.apple.com/us/podcast/broken-harts/id1434603257,2019-08-15,iHeartRadio & Glamour,1434603257
148,podcast,Crimetown,https://podcasts.apple.com/us/podcast/crimetown/id1170959623,2019-09-05,Gimlet,1170959623
149,podcast,Sleepwalkers,https://podcasts.apple.com/us/podcast/sleepwalkers/id1449757372,2019-07-04,iHeartRadio,1449757372
150,podcast,DISGRACELAND,https://podcasts.apple.com/us/podcast/disgraceland/id1275172907,2019-07-30,iHeartRadio & Jake Brennan,1275172907
151,podcast,SVP & Russillo,https://podcasts.apple.com/us/podcast/svp-russillo/id1465969075,2019-08-14,"ESPN, Scott Van Pelt, Ryen Russillo",1465969075
152,podcast,The Misfits Podcast,https://podcasts.apple.com/us/podcast/the-misfits-podcast/id1399485424,2019-09-06,Misfits,1399485424
153,podcast,Small Doses with Amanda Seales,https://podcasts.apple.com/us/podcast/small-doses-with-amanda-seales/id1333316223,2019-09-04,Starburns Audio,1333316223
154,podcast,True Crime Garage,https://podcasts.apple.com/us/podcast/true-crime-garage/id1062418176,2019-09-03,TRUE CRIME GARAGE,1062418176
155,podcast,The Ballad of Billy Balls / The RFK Tapes,https://podcasts.apple.com/us/podcast/the-ballad-of-billy-balls-the-rfk-tapes/id1391405921,2019-08-15,Crimetown Presents,1391405921
156,podcast,Jenna & Julien Podcast,https://podcasts.apple.com/us/podcast/jenna-julien-podcast/id909705390,2019-08-26,Jenna & Julien Podcast,909705390
157,podcast,StarTalk Radio,https://podcasts.apple.com/us/podcast/startalk-radio/id325404506,2019-09-06,Neil deGrasse Tyson,325404506
158,podcast,The Read,https://podcasts.apple.com/us/podcast/the-read/id619369512,2019-09-05,Loud Speakers Network,619369512
159,podcast,Global News Podcast,https://podcasts.apple.com/us/podcast/global-news-podcast/id135067274,2019-09-07,BBC World Service,135067274
160,podcast,Chicks in the Office,https://podcasts.apple.com/us/podcast/chicks-in-the-office/id1412142989,2019-09-05,Barstool Sports,1412142989
161,podcast,Impaulsive with Logan Paul,https://podcasts.apple.com/us/podcast/impaulsive-with-logan-paul/id1442164847,2019-09-06,Logan Paul,1442164847
162,podcast,The Candace Owens Show,https://podcasts.apple.com/us/podcast/the-candace-owens-show/id1454587745,2019-09-08,PragerU,1454587745
163,podcast,Wildfire,https://podcasts.apple.com/us/podcast/wildfire/id1463624066,2019-07-02,REI Co-op,1463624066
164,podcast,"Terrible, Thanks For Asking",https://podcasts.apple.com/us/podcast/terrible-thanks-for-asking/id1126119288,2019-09-03,American Public Media,1126119288
165,podcast,Ellen on the Go,https://podcasts.apple.com/us/podcast/ellen-on-the-go/id1435335444,2019-07-04,WAD Productions | Wondery,1435335444
166,podcast,WorkLife with Adam Grant,https://podcasts.apple.com/us/podcast/worklife-with-adam-grant/id1346314086,2019-05-20,TED,1346314086
167,podcast,WTF with Marc Maron Podcast,https://podcasts.apple.com/us/podcast/wtf-with-marc-maron-podcast/id329875043,2019-09-05,Marc Maron,329875043
168,podcast,King and the Sting,https://podcasts.apple.com/us/podcast/king-and-the-sting/id1447672084,2019-09-05,Brendan Schaub & Theo Von,1447672084
169,podcast,Uncover,https://podcasts.apple.com/us/podcast/uncover/id1364665348,2019-09-04,CBC Podcasts,1364665348
170,podcast,The Dan Bongino Show,https://podcasts.apple.com/us/podcast/the-dan-bongino-show/id965293227,2019-09-06,Westwood One / Dan Bongino,965293227
171,podcast,Ten Percent Happier with Dan Harris,https://podcasts.apple.com/us/podcast/ten-percent-happier-with-dan-harris/id1087147821,2019-09-04,ABC News,1087147821
172,podcast,Reply All,https://podcasts.apple.com/us/podcast/reply-all/id941907967,2019-08-29,Gimlet,941907967
173,podcast,The Fighter & The Kid,https://podcasts.apple.com/us/podcast/the-fighter-the-kid/id706421907,2019-09-05,"Brendan Schaub, Bryan Callen",706421907
174,podcast,Happier with Gretchen Rubin,https://podcasts.apple.com/us/podcast/happier-with-gretchen-rubin/id969519520,2019-09-04,Gretchen Rubin / The Onward Project,969519520
175,podcast,Pretty Basic with Alisha Marie and Remi Cruz,https://podcasts.apple.com/us/podcast/pretty-basic-with-alisha-marie-and-remi-cruz/id1439655378,2019-09-04,Ramble,1439655378
176,podcast,"Do The Thing, with Whole30's Melissa Urban",https://podcasts.apple.com/us/podcast/do-the-thing-with-whole30s-melissa-urban/id1460152081,2019-09-03,Melissa Urban,1460152081
177,podcast,Brown Ambition,https://podcasts.apple.com/us/podcast/brown-ambition/id1039708229,2019-09-04,Mandi Woodruff and Tiffany Aliche,1039708229
178,podcast,Hit Man,https://podcasts.apple.com/us/podcast/hit-man/id1449636432,2019-09-07,iHeartRadio,1449636432
179,podcast,Confronting: O.J. Simpson with Kim Goldman,https://podcasts.apple.com/us/podcast/confronting-o-j-simpson-with-kim-goldman/id1467123067,2019-08-28,GLASS | Wondery,1467123067
180,podcast,Your 2 Dads w/ Sean & Julian,https://podcasts.apple.com/us/podcast/your-2-dads-w-sean-julian/id1458363841,2019-09-01,Comedy Central,1458363841
181,podcast,Encyclopedia Womannica,https://podcasts.apple.com/us/podcast/encyclopedia-womannica/id1464524725,2019-09-07,Wonder Media Network,1464524725
182,podcast,Changing the Game,https://podcasts.apple.com/us/podcast/changing-the-game/id1463344677,2019-06-27,Civilized,1463344677
183,podcast,How Men Think with Brooks Laich & Gavin DeGraw,https://podcasts.apple.com/us/podcast/how-men-think-with-brooks-laich-gavin-degraw/id1466080869,2019-09-02,iHeartRadio,1466080869
184,podcast,Spectacular Failures,https://podcasts.apple.com/us/podcast/spectacular-failures/id1466271396,2019-08-19,American Public Media,1466271396
185,podcast,Angry Americans with Paul Rieckhoff,https://podcasts.apple.com/us/podcast/angry-americans-with-paul-rieckhoff/id1457899667,2019-09-05,Righteous Media,1457899667
186,podcast,Hacks on Tap with David Axelrod and Mike Murphy,https://podcasts.apple.com/us/podcast/hacks-on-tap-with-david-axelrod-and-mike-murphy/id1467297559,2019-09-03,David Axelrod,1467297559
187,podcast,Culpable,https://podcasts.apple.com/us/podcast/culpable/id1466330985,2019-09-02,"Tenderfoot TV, Black Mountain Media & Cadence 13",1466330985
188,podcast,Supervision,https://podcasts.apple.com/us/podcast/supervision/id1465785780,2019-06-06,New Hampshire Public Radio,1465785780
189,podcast,NBC's Songland Podcast,https://podcasts.apple.com/us/podcast/nbcs-songland-podcast/id1463444145,2019-09-05,iHeartRadio,1463444145
190,podcast,The Uncut Life of Anisia & Devonte,https://podcasts.apple.com/us/podcast/the-uncut-life-of-anisia-devonte/id1466572667,2019-06-02,The Life of Us Vlogs,1466572667
191,podcast,Joel Osteen Podcast,https://podcasts.apple.com/us/podcast/joel-osteen-podcast/id137254859,2019-09-08,Joel Osteen,137254859
192,podcast,The Rachel Maddow Show,https://podcasts.apple.com/us/podcast/the-rachel-maddow-show/id294055449,2019-09-07,"Rachel Maddow, MSNBC",294055449
193,podcast,Myths and Legends,https://podcasts.apple.com/us/podcast/myths-and-legends/id990897842,2019-09-04,"Jason Weiser, Carissa Weiser / Bardic",990897842
194,podcast,The Art of Manliness,https://podcasts.apple.com/us/podcast/the-art-of-manliness/id332516054,2019-09-04,The Art of Manliness,332516054
195,podcast,The goop Podcast,https://podcasts.apple.com/us/podcast/the-goop-podcast/id1352546554,2019-09-05,"Goop, Inc. and Cadence13",1352546554
196,podcast,How Did This Get Made?,https://podcasts.apple.com/us/podcast/how-did-this-get-made/id409287913,2019-09-06,"Earwolf and Paul Scheer, June Diane Raphael, Jason Mantzoukas",409287913
197,podcast,#GetSome with Gary Owen,https://podcasts.apple.com/us/podcast/getsome-with-gary-owen/id1282242737,2019-09-03,United We Cast,1282242737
198,podcast,Ear Biscuits,https://podcasts.apple.com/us/podcast/ear-biscuits/id717407884,2019-09-02,Mythical & Ramble,717407884
